tx_price,beds,baths,sqft,year_built
295850,1,1,584,2013
216500,1,1,612,1965
279900,1,1,615,1963
379900,1,1,618,2000
340000,1,1,634,1992
265000,1,1,641,1947
240000,1,1,642,1944
388100,1,1,650,2000
240000,1,1,660,1983
250000,1,1,664,1965
335000,1,1,669,2006
376750,1,1,673,2005
210000,1,1,680,1963
289900,1,1,685,1960
535000,1,1,687,2008
218000,1,1,689,1988
400000,1,1,689,2008
226000,1,1,690,1997
363700,1,1,692,2007
215000,1,1,698,1963
327000,1,1,698,2005
331100,1,1,700,2005
240000,1,1,703,1992
320000,1,1,704,2005
290800,1,1,704,2006
375000,1,1,705,1985
377000,1,1,709,2005
262500,1,1,711,1944
216250,1,1,712,1944
270000,1,1,722,1985
235000,1,1,723,2005
225000,1,1,724,1958
370000,1,1,725,2006
232000,1,1,736,1998
281900,1,1,737,2000
355000,1,1,740,2000
350000,1,1,741,2006
231900,1,1,750,1964
284000,1,1,755,1996
255000,1,1,759,1959
285850,1,1,759,2006
249298,1,1,759,2012
380000,1,1,760,1991
244800,1,1,767,1944
397400,1,1,771,2005
345000,1,1,781,2006
220000,1,1,792,1987
279000,1,1,796,1986
286900,1,1,797,2005
220000,1,1,800,1985
305000,1,1,805,1941
409575,1,1,805,2005
300367,1,1,805,2007
230000,1,1,809,1965
270000,1,1,810,1975
210000,1,1,811,1969
366700,1,1,817,2004
238600,1,1,834,1992
284900,1,1,838,2007
253000,1,1,850,1974
305000,1,1,850,1984
280000,1,1,850,1986
411000,1,1,855,2006
270900,1,1,856,2005
406250,1,1,859,2000
365000,1,1,866,1989
440000,1,1,879,2008
250000,1,1,880,1965
350100,1,1,900,1947
250000,1,1,900,1965
305000,1,1,902,1978
200000,1,1,914,1982
371500,1,1,917,2007
270000,1,1,920,1978
318000,1,1,926,1973
408400,1,1,933,2005
325000,1,1,934,1993
239000,1,1,945,1984
367500,1,1,950,1986
378000,1,1,961,2006
269000,1,1,966,1996
245000,1,1,999,1979
225000,1,1,1005,1982
302000,1,1,1014,1985
387900,1,1,1050,2005
560000,1,1,1092,1984
750000,1,1,1322,2009
299700,1,2,814,2008
779900,1,2,1207,2012
379000,1,2,1489,1940
225000,2,1,768,1950
230000,2,1,793,1950
328000,2,1,800,1950
407800,2,1,803,2000
470630,2,1,814,2005
270000,2,1,816,1949
359500,2,1,835,1954
355000,2,1,836,1994
283000,2,1,845,1942
378000,2,1,864,1942
255000,2,1,870,1984
306000,2,1,875,1950
292999,2,1,875,1950
369900,2,1,891,2004
326000,2,1,893,2003
350000,2,1,900,1941
350000,2,1,900,1941
396875,2,1,912,1960
374900,2,1,912,1983
232150,2,1,920,1941
327000,2,1,924,1961
455900,2,1,928,2013
290000,2,1,930,1983
301000,2,1,930,1986
275000,2,1,930,1988
531000,2,1,931,2006
405000,2,1,945,1955
336000,2,1,950,1941
214000,2,1,952,1964
327500,2,1,958,1941
251489,2,1,959,1930
238900,2,1,960,1963
297000,2,1,960,1964
235000,2,1,960,1985
210000,2,1,960,1989
215000,2,1,966,1958
285000,2,1,966,1994
239900,2,1,976,1971
375500,2,1,983,1984
415000,2,1,993,1984
230581,2,1,996,1987
400000,2,1,1008,1987
420000,2,1,1010,1954
292000,2,1,1011,1958
200000,2,1,1015,1930
226000,2,1,1021,1961
220000,2,1,1024,2010
280000,2,1,1032,1958
299900,2,1,1032,1964
204000,2,1,1044,1961
350000,2,1,1062,1983
228000,2,1,1070,1972
300000,2,1,1073,1972
280000,2,1,1083,1965
305500,2,1,1100,1960
348500,2,1,1103,1944
210000,2,1,1177,1975
250000,2,1,1179,1964
229000,2,1,1185,1953
300000,2,1,1188,1954
220000,2,1,1194,1979
275000,2,1,1197,1972
312000,2,1,1200,1950
265000,2,1,1240,1987
265000,2,1,1240,1987
231525,2,1,1242,1984
239900,2,1,1250,1983
305000,2,1,1288,1980
337600,2,1,1296,1954
248000,2,1,1344,1880
336900,2,1,1346,1986
225000,2,1,1350,1954
585000,2,1,1360,1983
205000,2,1,1526,2004
330000,2,2,832,1943
250000,2,2,864,1942
200000,2,2,877,2000
286499,2,2,886,1981
237500,2,2,886,1982
261000,2,2,896,1951
277000,2,2,899,2000
425000,2,2,910,1950
385000,2,2,915,2005
275000,2,2,930,1983
275000,2,2,933,1990
201953,2,2,940,1986
307500,2,2,940,1988
551400,2,2,949,2007
435000,2,2,950,2005
230000,2,2,951,1988
367000,2,2,951,1994
509500,2,2,954,2000
275000,2,2,959,2002
279537,2,2,969,1988
499900,2,2,970,2000
315000,2,2,980,1990
299900,2,2,980,1991
320000,2,2,984,1947
279000,2,2,986,1971
386500,2,2,992,1944
270000,2,2,998,1989
440000,2,2,1000,1940
475000,2,2,1000,1989
278000,2,2,1002,2006
443000,2,2,1005,1989
290000,2,2,1012,1995
458900,2,2,1025,2005
615000,2,2,1027,2008
225000,2,2,1038,1991
525000,2,2,1040,1920
315000,2,2,1040,1990
490000,2,2,1041,2007
243000,2,2,1044,1964
250000,2,2,1044,1986
289500,2,2,1045,1996
249950,2,2,1048,1992
250000,2,2,1050,1996
345000,2,2,1053,1993
351500,2,2,1056,2003
478089,2,2,1069,1987
349181,2,2,1070,1988
300000,2,2,1074,1987
218000,2,2,1075,1986
416900,2,2,1075,2005
335000,2,2,1077,1980
225000,2,2,1080,1985
316500,2,2,1082,1993
535150,2,2,1084,2007
405000,2,2,1086,2003
620000,2,2,1088,2006
545000,2,2,1095,1986
342500,2,2,1098,1988
209000,2,2,1100,1995
243000,2,2,1100,1997
254000,2,2,1102,1986
240000,2,2,1104,2003
265000,2,2,1107,1990
240000,2,2,1108,1985
250000,2,2,1112,1974
534625,2,2,1112,2006
313500,2,2,1120,1997
469900,2,2,1123,2007
610000,2,2,1128,2006
285000,2,2,1130,1990
296000,2,2,1130,1992
293815,2,2,1130,1993
290000,2,2,1132,1978
278000,2,2,1134,1983
380000,2,2,1135,2006
367500,2,2,1135,2006
325000,2,2,1139,1985
280000,2,2,1141,1975
289900,2,2,1145,2005
290000,2,2,1148,1998
306755,2,2,1149,1997
295000,2,2,1150,1974
338000,2,2,1150,2005
305000,2,2,1152,1995
342900,2,2,1152,2005
410000,2,2,1153,1994
377400,2,2,1155,2012
394000,2,2,1158,2007
370000,2,2,1161,2005
326979,2,2,1163,2005
285000,2,2,1166,1965
245000,2,2,1170,1984
315000,2,2,1170,1997
255000,2,2,1170,1998
221500,2,2,1178,1986
275250,2,2,1181,2003
335000,2,2,1184,1989
535000,2,2,1184,2006
209480,2,2,1188,2001
230000,2,2,1193,2007
245000,2,2,1195,1982
254900,2,2,1195,2001
400000,2,2,1200,1938
550000,2,2,1200,1940
399500,2,2,1200,1954
242000,2,2,1200,1985
236511,2,2,1200,2001
385000,2,2,1201,2008
229500,2,2,1202,1965
387000,2,2,1204,1995
295000,2,2,1205,1987
460000,2,2,1205,2005
450000,2,2,1206,1985
346631,2,2,1215,2003
380000,2,2,1217,2005
279000,2,2,1218,2001
250000,2,2,1220,1994
203255,2,2,1224,1999
295990,2,2,1230,1997
526275,2,2,1242,2006
295000,2,2,1242,2007
230000,2,2,1244,1998
617000,2,2,1248,2008
485000,2,2,1252,2006
295000,2,2,1253,1992
345000,2,2,1254,1998
257000,2,2,1256,1988
299000,2,2,1263,1997
320000,2,2,1270,1996
319990,2,2,1288,1991
278000,2,2,1293,1984
381000,2,2,1294,1995
442000,2,2,1305,1987
653000,2,2,1305,2005
550000,2,2,1309,1980
225000,2,2,1316,1973
525000,2,2,1320,1974
289000,2,2,1343,1982
371000,2,2,1346,2004
250000,2,2,1348,2004
330000,2,2,1350,1993
318500,2,2,1356,1999
267000,2,2,1360,1967
250000,2,2,1360,1983
578324,2,2,1376,2006
385000,2,2,1383,1944
210835,2,2,1388,1994
274500,2,2,1389,1979
254900,2,2,1392,1986
275000,2,2,1400,1944
290000,2,2,1413,1980
505000,2,2,1420,1987
299000,2,2,1439,1982
271000,2,2,1470,1986
490000,2,2,1471,1997
325000,2,2,1474,1987
412000,2,2,1476,2000
329900,2,2,1477,2001
281975,2,2,1480,2007
215000,2,2,1496,1971
589000,2,2,1516,1981
405490,2,2,1522,1998
475000,2,2,1526,1982
375000,2,2,1530,1976
455000,2,2,1530,2000
429900,2,2,1623,1981
465000,2,2,1638,1995
471850,2,2,1640,1998
337980,2,2,1641,2001
625000,2,2,1649,1938
462604,2,2,1684,2005
395000,2,2,1750,1996
575000,2,2,1825,2006
289000,2,2,1870,2002
740000,2,2,2100,1981
540000,2,2,2310,1955
225000,2,2,2512,1995
601987,2,2,2690,2005
250000,2,3,1160,1995
330000,2,3,1200,1986
302000,2,3,1260,1987
557000,2,3,1296,1992
408000,2,3,1314,1987
495000,2,3,1600,1920
416000,2,3,1667,1988
538000,2,3,1820,1986
335000,2,3,1853,1977
395000,2,3,1925,1996
299940,2,3,1942,2008
300000,2,3,2067,1986
399500,2,3,2180,1975
300000,2,4,1377,1987
370000,3,1,874,1921
200000,3,1,876,1950
455000,3,1,884,1952
285000,3,1,943,1950
433150,3,1,948,1951
225000,3,1,1008,1956
297000,3,1,1024,1950
204000,3,1,1102,1984
209400,3,1,1120,1975
306000,3,1,1140,1984
375000,3,1,1204,1956
397555,3,1,1210,1977
325000,3,1,1211,1954
375000,3,1,1220,1981
523000,3,1,1220,1987
274500,3,1,1224,1947
368000,3,1,1260,1951
330000,3,1,1280,1970
300000,3,1,1280,1984
275000,3,1,1280,1984
340000,3,1,1280,1985
497650,3,1,1286,1947
490000,3,1,1301,1950
295000,3,1,1302,1972
650000,3,1,1309,1952
580000,3,1,1323,1920
330000,3,1,1368,1994
299990,3,1,1382,1985
389900,3,1,1404,1956
430000,3,1,1506,1981
482413,3,1,1520,1995
325000,3,1,1568,1954
500000,3,1,1618,1958
656500,3,1,1846,1954
296000,3,1,1860,1995
399000,3,1,1928,1954
200000,3,1,2175,1940
225870,3,1,2622,1995
359000,3,2,816,1948
349900,3,2,816,1949
255000,3,2,879,1950
255000,3,2,884,1964
232500,3,2,890,1954
405000,3,2,922,1944
429900,3,2,966,1980
249600,3,2,969,1988
299000,3,2,972,1964
246700,3,2,997,1984
360000,3,2,1009,1959
349900,3,2,1036,1954
280000,3,2,1040,2013
350000,3,2,1060,1983
339500,3,2,1064,1988
320000,3,2,1084,1967
299000,3,2,1092,1958
305000,3,2,1092,1958
325900,3,2,1100,1984
310000,3,2,1102,1956
358000,3,2,1104,1990
200750,3,2,1131,1977
257600,3,2,1144,1973
280000,3,2,1152,1963
258000,3,2,1178,1979
415000,3,2,1200,1949
339000,3,2,1200,1953
249000,3,2,1200,1953
500000,3,2,1208,1972
345000,3,2,1211,1954
280000,3,2,1214,2001
285000,3,2,1220,1982
439900,3,2,1220,1983
428000,3,2,1220,1984
417000,3,2,1220,1984
410000,3,2,1220,1985
525000,3,2,1224,1942
392000,3,2,1225,1954
252500,3,2,1228,1987
375000,3,2,1232,1973
375000,3,2,1232,1980
378000,3,2,1240,1982
485000,3,2,1254,1951
445900,3,2,1258,2003
335000,3,2,1260,1948
271000,3,2,1260,1962
399900,3,2,1267,1954
275000,3,2,1276,1955
333000,3,2,1280,1979
324000,3,2,1280,1985
440000,3,2,1285,1963
575000,3,2,1287,1945
275000,3,2,1296,1963
425000,3,2,1304,1978
295000,3,2,1304,1980
319900,3,2,1320,1971
340000,3,2,1320,1972
258000,3,2,1320,1983
370000,3,2,1320,1996
700000,3,2,1325,1939
200000,3,2,1330,1972
242990,3,2,1330,2010
320000,3,2,1331,1969
319950,3,2,1332,1995
250000,3,2,1332,2003
235000,3,2,1334,1978
211500,3,2,1338,1967
350000,3,2,1340,1965
209900,3,2,1342,1970
390000,3,2,1342,1985
416000,3,2,1344,1984
245000,3,2,1348,1987
236000,3,2,1348,2006
238500,3,2,1350,1978
440000,3,2,1352,1974
250000,3,2,1360,1983
239900,3,2,1360,1995
325000,3,2,1362,1963
309900,3,2,1368,2003
293000,3,2,1370,1984
459000,3,2,1370,1992
297000,3,2,1374,1994
249000,3,2,1375,1994
455900,3,2,1380,1990
375490,3,2,1380,1997
375000,3,2,1400,1938
271000,3,2,1400,1972
350000,3,2,1400,1972
368253,3,2,1400,2005
399000,3,2,1404,1951
290000,3,2,1404,1959
331000,3,2,1408,1967
300000,3,2,1408,2000
462330,3,2,1418,2013
317500,3,2,1421,1985
209900,3,2,1440,1963
299900,3,2,1440,1988
347644,3,2,1442,1974
279900,3,2,1444,1971
385000,3,2,1446,1965
330000,3,2,1452,1968
360000,3,2,1452,1974
455000,3,2,1452,1981
324000,3,2,1452,1992
350000,3,2,1452,1994
400000,3,2,1456,1984
262000,3,2,1459,1975
475000,3,2,1468,1948
420000,3,2,1475,1954
467000,3,2,1483,2004
440000,3,2,1484,1986
309900,3,2,1496,1979
444000,3,2,1496,1981
345000,3,2,1501,1980
400000,3,2,1503,1951
223500,3,2,1506,1975
341500,3,2,1508,1953
306000,3,2,1510,1975
438950,3,2,1512,1977
340000,3,2,1514,1997
260000,3,2,1518,1991
415000,3,2,1522,1989
345000,3,2,1524,2006
320000,3,2,1532,1980
399900,3,2,1534,1953
228000,3,2,1540,1972
239000,3,2,1540,1973
310000,3,2,1541,1977
415000,3,2,1544,1996
385000,3,2,1546,1993
325000,3,2,1548,1950
245000,3,2,1550,1936
324999,3,2,1554,1954
469335,3,2,1556,1986
607000,3,2,1560,1950
460000,3,2,1564,1977
381000,3,2,1574,1986
305000,3,2,1575,1983
272500,3,2,1582,1958
395000,3,2,1586,1972
450000,3,2,1590,1986
300000,3,2,1593,1991
243000,3,2,1594,1998
449835,3,2,1600,1994
214000,3,2,1600,1996
290889,3,2,1600,2010
212000,3,2,1614,1961
384900,3,2,1614,1992
428002,3,2,1620,2006
540000,3,2,1621,2005
422000,3,2,1624,2004
218000,3,2,1625,1974
289990,3,2,1629,2009
355000,3,2,1632,1988
499900,3,2,1636,2000
265000,3,2,1637,1988
365000,3,2,1638,1984
209900,3,2,1640,1985
347903,3,2,1640,2004
297000,3,2,1650,1955
600000,3,2,1654,1941
450000,3,2,1661,1979
395000,3,2,1661,1988
232600,3,2,1662,1972
550000,3,2,1672,1984
255000,3,2,1672,2004
407200,3,2,1674,1993
485000,3,2,1682,1965
226000,3,2,1682,1991
395000,3,2,1682,2004
389990,3,2,1686,2004
489000,3,2,1691,1986
247640,3,2,1692,1999
525000,3,2,1695,1982
525000,3,2,1696,1941
271900,3,2,1705,1979
679370,3,2,1706,2013
360000,3,2,1708,2004
600000,3,2,1710,1974
215570,3,2,1722,1978
450000,3,2,1725,1996
342500,3,2,1729,1962
566700,3,2,1734,1925
430000,3,2,1750,1981
319500,3,2,1752,1997
335655,3,2,1760,2004
539900,3,2,1768,1999
529600,3,2,1770,1958
446151,3,2,1778,1994
285810,3,2,1784,2010
457091,3,2,1786,1947
429000,3,2,1787,1993
214900,3,2,1793,1984
203000,3,2,1800,1947
346000,3,2,1800,1975
630000,3,2,1806,1959
321610,3,2,1806,2002
399900,3,2,1810,1988
340000,3,2,1814,1999
349900,3,2,1823,1945
262000,3,2,1828,1985
365000,3,2,1833,1978
291000,3,2,1836,2005
300000,3,2,1840,1997
345000,3,2,1842,1975
325000,3,2,1842,1995
290000,3,2,1848,1988
293000,3,2,1854,1953
247000,3,2,1857,2003
382921,3,2,1858,2003
643000,3,2,1862,1940
367139,3,2,1864,2007
309000,3,2,1866,1953
446000,3,2,1875,1979
420000,3,2,1878,1996
370000,3,2,1884,1999
385000,3,2,1885,1997
450000,3,2,1900,1998
279900,3,2,1910,1989
496876,3,2,1912,2005
339900,3,2,1918,1988
675000,3,2,1920,1993
471500,3,2,1934,1989
565000,3,2,1936,1952
400000,3,2,1940,1953
445000,3,2,1950,1951
526000,3,2,1984,2002
350000,3,2,1988,1957
474000,3,2,2008,2002
400000,3,2,2008,2005
667000,3,2,2014,1949
489000,3,2,2016,1975
400000,3,2,2017,1993
753000,3,2,2030,1947
548000,3,2,2036,2000
310000,3,2,2038,1975
303000,3,2,2038,2004
395000,3,2,2051,1983
482500,3,2,2062,1998
260000,3,2,2076,1998
270000,3,2,2079,1979
545000,3,2,2084,1951
312000,3,2,2089,1981
344000,3,2,2097,2003
450000,3,2,2100,1960
320000,3,2,2100,1993
422500,3,2,2102,1952
365000,3,2,2106,1981
352500,3,2,2112,1961
615000,3,2,2112,2000
451675,3,2,2121,2005
485000,3,2,2128,1981
369000,3,2,2130,2004
600000,3,2,2140,1990
599900,3,2,2146,1956
699000,3,2,2155,1995
279000,3,2,2172,1993
590000,3,2,2201,1955
327990,3,2,2204,2004
261885,3,2,2215,2009
705000,3,2,2220,1954
284857,3,2,2236,1999
395000,3,2,2269,1988
304320,3,2,2296,2010
409900,3,2,2313,2005
261250,3,2,2320,1959
385000,3,2,2328,2010
359000,3,2,2328,2011
588000,3,2,2370,2009
340000,3,2,2376,1981
250000,3,2,2384,2009
646319,3,2,2392,2001
772890,3,2,2432,2012
505000,3,2,2437,2005
653931,3,2,2439,2007
305000,3,2,2464,1994
389000,3,2,2490,2004
333500,3,2,2499,2009
297283,3,2,2500,2012
535000,3,2,2526,1999
626934,3,2,2539,2007
311370,3,2,2552,2009
332320,3,2,2552,2012
395841,3,2,2564,2008
378672,3,2,2591,2007
378672,3,2,2591,2007
502000,3,2,2600,1983
452145,3,2,2611,2005
254400,3,2,2662,1973
699900,3,2,2665,1965
325344,3,2,2700,2010
497500,3,2,2729,1991
392235,3,2,2766,2007
280000,3,2,2796,1972
401195,3,2,2821,2007
465000,3,2,2872,1971
387500,3,2,2875,1981
760000,3,2,2900,2004
525000,3,2,2952,1999
462790,3,2,3040,2004
544000,3,2,3050,1957
376968,3,2,3102,2012
370000,3,2,3187,1975
425000,3,2,3194,1900
495900,3,2,3416,1986
519900,3,2,3477,1988
275000,3,3,500,1998
575000,3,3,962,1956
212000,3,3,1080,1988
342000,3,3,1116,2000
619000,3,3,1137,1977
290000,3,3,1163,1943
370000,3,3,1170,1985
451000,3,3,1188,1979
385500,3,3,1220,1983
295000,3,3,1220,1987
235000,3,3,1226,1992
343000,3,3,1240,1998
355000,3,3,1247,1959
425000,3,3,1280,1972
335000,3,3,1280,1975
332271,3,3,1280,1984
332000,3,3,1280,1986
335000,3,3,1290,1980
320000,3,3,1294,1984
435000,3,3,1300,1986
205000,3,3,1300,2005
375000,3,3,1320,1978
236500,3,3,1328,1981
622500,3,3,1360,1969
398000,3,3,1360,1975
530000,3,3,1360,1990
310000,3,3,1366,1998
249000,3,3,1368,1987
295000,3,3,1392,1978
329900,3,3,1406,2001
330000,3,3,1408,1974
300000,3,3,1408,1977
310000,3,3,1408,1980
323000,3,3,1408,1989
253000,3,3,1420,1991
517500,3,3,1428,1990
340000,3,3,1440,1985
313540,3,3,1450,1994
360000,3,3,1451,1992
315500,3,3,1452,1976
290000,3,3,1452,1978
365000,3,3,1452,1978
355000,3,3,1452,1984
311000,3,3,1456,1960
399900,3,3,1456,1989
408000,3,3,1456,1990
475000,3,3,1462,1987
415000,3,3,1474,1970
401000,3,3,1479,1979
275000,3,3,1480,1977
350000,3,3,1492,2003
365000,3,3,1496,1978
720000,3,3,1525,1950
234000,3,3,1532,1997
538430,3,3,1532,2011
649900,3,3,1538,1946
410000,3,3,1540,1977
236000,3,3,1542,1985
445000,3,3,1552,1989
325000,3,3,1556,1992
387000,3,3,1568,1986
334000,3,3,1584,1983
391066,3,3,1584,1984
395000,3,3,1586,1994
273050,3,3,1588,2011
524000,3,3,1600,1989
264900,3,3,1600,2001
719981,3,3,1610,2013
397000,3,3,1618,2004
612000,3,3,1628,1971
486990,3,3,1628,2010
785000,3,3,1640,1951
343000,3,3,1640,1996
420000,3,3,1646,1991
284900,3,3,1649,1989
200000,3,3,1650,1969
450000,3,3,1652,2001
420000,3,3,1656,1973
353140,3,3,1656,1977
223932,3,3,1656,1996
267500,3,3,1658,2001
285000,3,3,1661,1976
459990,3,3,1672,1980
241000,3,3,1674,1988
248500,3,3,1678,1987
427000,3,3,1680,1998
411300,3,3,1680,2005
347000,3,3,1684,1988
350000,3,3,1687,1997
234000,3,3,1692,1999
314900,3,3,1700,2003
379900,3,3,1708,2001
419900,3,3,1716,1992
290000,3,3,1722,1978
602000,3,3,1731,2000
282344,3,3,1731,2008
459900,3,3,1738,1989
200000,3,3,1746,1987
280000,3,3,1747,1995
435000,3,3,1750,1986
420000,3,3,1752,1970
389900,3,3,1756,1996
482413,3,3,1758,1995
305000,3,3,1760,2002
225000,3,3,1760,2006
359000,3,3,1766,1994
392000,3,3,1770,1986
565000,3,3,1774,1993
515000,3,3,1774,2002
478040,3,3,1774,2007
320000,3,3,1780,1968
477000,3,3,1798,1991
415000,3,3,1814,1989
525000,3,3,1815,1993
265000,3,3,1821,1992
680300,3,3,1827,1952
375000,3,3,1834,1986
235000,3,3,1840,1985
650000,3,3,1844,1987
440000,3,3,1860,2004
616700,3,3,1874,1994
299000,3,3,1882,1994
385000,3,3,1885,1990
435000,3,3,1888,1995
510000,3,3,1900,1948
292240,3,3,1900,2000
575000,3,3,1902,1946
647500,3,3,1908,1985
544240,3,3,1912,2005
249900,3,3,1919,1990
560000,3,3,1920,1996
250000,3,3,1923,1994
285000,3,3,1928,1968
225000,3,3,1940,2003
410000,3,3,1960,1991
424700,3,3,1962,1945
655000,3,3,1966,1996
245950,3,3,1971,1990
466000,3,3,1980,1974
320000,3,3,1980,1994
215000,3,3,1985,1989
485602,3,3,1986,2004
390000,3,3,2000,1992
265000,3,3,2004,2007
388000,3,3,2010,1942
422000,3,3,2012,1991
640000,3,3,2032,1994
307080,3,3,2036,2001
589900,3,3,2046,2005
439900,3,3,2052,2003
410000,3,3,2055,1991
605000,3,3,2057,1995
635000,3,3,2064,1992
310000,3,3,2073,1988
800000,3,3,2086,1930
280000,3,3,2100,1986
440000,3,3,2101,1987
321500,3,3,2102,1965
246677,3,3,2109,2007
440000,3,3,2118,2009
339400,3,3,2118,2009
279900,3,3,2148,2009
780000,3,3,2160,1983
300000,3,3,2163,1971
332000,3,3,2169,2013
317990,3,3,2190,2003
535000,3,3,2200,2001
642000,3,3,2200,2004
488000,3,3,2234,1967
297000,3,3,2240,1978
225000,3,3,2288,1971
729000,3,3,2320,1978
375000,3,3,2321,2000
521000,3,3,2329,1986
400000,3,3,2369,1984
340000,3,3,2372,1969
355000,3,3,2376,1983
470000,3,3,2401,1984
440000,3,3,2412,1973
760000,3,3,2426,1957
403000,3,3,2437,2007
308000,3,3,2448,1930
750000,3,3,2452,1981
708500,3,3,2460,1997
660000,3,3,2466,2000
790830,3,3,2466,2000
314100,3,3,2484,1997
734235,3,3,2496,2010
333250,3,3,2508,1976
680000,3,3,2556,1997
329990,3,3,2568,2010
300000,3,3,2618,1991
471000,3,3,2626,1995
400000,3,3,2628,1993
273001,3,3,2630,1985
605000,3,3,2636,2000
487500,3,3,2640,1985
282500,3,3,2689,2012
475000,3,3,2690,1989
325344,3,3,2700,2010
299000,3,3,2701,1986
489000,3,3,2722,1992
397000,3,3,2790,2007
396000,3,3,2800,1991
520000,3,3,2804,1987
468041,3,3,2807,2006
390000,3,3,2846,1984
345000,3,3,2900,1981
475000,3,3,2936,1994
315435,3,3,3027,1995
359900,3,3,3060,1996
665000,3,3,3135,1994
534000,3,3,3155,2003
426000,3,3,3352,2002
509000,3,3,3408,1941
431375,3,3,3855,2002
343000,3,4,1232,1973
251000,3,4,1480,1998
393500,3,4,1492,2004
475000,3,4,1496,1987
225540,3,4,1500,2010
335000,3,4,1556,2004
498000,3,4,1584,1976
485000,3,4,1584,1988
285000,3,4,1628,1968
506900,3,4,1628,2011
200750,3,4,1633,1977
323500,3,4,1661,1989
293000,3,4,1700,1986
314900,3,4,1700,2003
417000,3,4,1712,1994
305109,3,4,1750,1966
275000,3,4,1764,1966
570000,3,4,1774,1993
560000,3,4,1920,1996
285540,3,4,2036,2001
318500,3,4,2052,1989
542450,3,4,2100,2007
345000,3,4,2136,1986
549000,3,4,2160,2001
593046,3,4,2208,2005
228000,3,4,2223,1986
373275,3,4,2236,1999
206500,3,4,2367,1987
